	comment
204	['сам', 'кран', 'фильтр', 'стоить', 'недавно', 'меняный', 'обычный', 'напольный', 'фото', 'пост', 'всё', 'равно', 'пахнуть', 'мочь', 'чуствовать', 'просто', 'чувствительность', 'запах', 'сильно', 'идти']
205	['давно', 'пить', 'вода', 'ток', 'магазин', '😒дажа', 'фильтр', 'помогать']
206	['магазин', 'тот', 'самый', 'вода', 'кран', 'раз', 'дорогой', 'проходить', 'карачинский']
207	['куяс', 'копнуть', 'аж']
208	['поверь', 'измениться', 'тот', 'пора']
209	['соответствовать', 'норма', 'санпин', 'ага', 'кошка', 'дристать', 'вода', 'кран', 'фильтр', 'справляться', 'пить']
210	['не', 'помнить', 'такой', 'прошлый', 'год', 'позапрошлый']
211	['хороший', 'но', 'прям', 'душа', 'вонища']
212	['каждый', 'весна', 'такой']
213	['дело', 'обь', 'начинать', 'попадать', 'талый', 'вода', 'становиться', 'мутный', 'появляться', 'характерный', 'привкус', 'а', 'напрямую', 'река', 'пить', 'тогда', 'нафиг', 'плач', 'водоканал']
214	['водичка', 'река', 'попадать', 'ты', 'квартира', 'не', 'мочь', 'платить', 'каждый', 'утро', 'речной', 'ведро', 'ездить']
215	['🤣']
216	['каромысел', 'старосллвянск']
217	['запах', 'тина', 'напрямую', 'река', 'очистка']
218	['тоже', 'помнить', 'предыдущий', 'год']
219	['зональный', 'район', 'вода', 'тухлый', 'болотный', 'цвет', 'реально', 'грязный', 'вода', 'она', 'цветок', 'поливать', 'пить', 'кожа', 'мытьё', 'вода', 'красный', 'пятно', 'так', 'специалист', 'утверждать', 'вода', 'соответствовать', 'норма', '🤦\u200d', '♂️']
220	['здравствуйте', 'подсказать', 'пожалуйста', 'населить', 'пункт', 'район', 'вы', 'говорить', 'точный', 'адрес', 'уточнить', 'информация']
221	['соколово', 'всё', 'жаловаться', 'село']
222	['с', 'добрый', 'утром', 'лёгкий', 'день']
223	['добрый', 'утро', 'алтай', 'хороший', 'день', 'весь', '✌']
224	['минус', 'вообще', 'утро', '☝', '🤗']
225	['добрый', 'утро', 'на', 'ставить', 'эксперимент', 'жизнь', 'сладкоежка', 'неделя', 'есть', 'сахаросодержащий', 'продукт', 'черещ', 'день', 'есть', 'свёкла', 'тёрка', 'сладкий', 'вкусный', 'то', 'убирать', 'сахар', 'рацион', 'первый', 'появляться', 'бодрость', 'далее', 'вкусовой', 'рецептор', 'обновляться', 'сказать', 'поверьте', 'диета', 'обычный', 'еда', 'заиграть', 'новый', 'вкусовой', 'краска']
226	['привет', 'вегана', 'говорить', 'польза', 'овощ', 'равно', 'смотреть', 'мясо', 'аппетит', '😅', '👌', '🏻']
227	['жить', 'сибирь', 'холодно', 'мясо', 'кушать', 'вегетарианец', 'бали', '🤔']
228	['солёный', 'огурец', 'зелёный', 'чаемый', 'казаться', 'верхом', 'кулинария']
229	['🤣самый', 'надёжный', 'вариант', 'безотказный', 'ак']
230	['отказывать', 'твой', 'ак']
231	['добрый', 'утро', 'прекрасный', 'день', 'весь', '🤗']
232	['спасибо', 'совет', 'надо', 'заработать', 'процент', 'ммм', 'да', 'взятка']
233	['бодрый', 'утро', '☀']
234	['хотеть', 'купить', 'квартира', 'мотивация', 'жизнь', '😐']
235	['добрый', 'ночь', '😉']
236	['циган']
237	['г', 'ндон']
238	['плохо', 'номер', 'таз', 'попасть', 'кадр', 'в', 'какой', 'район', 'это']
239	['м', 'нк', 'внимательно', 'смотреть']
240	['м', 'нк', 'хёндэ', 'солярис', 'если', 'зрение', 'подводить']
241	['м', 'регион', 'вроде']
242	['спасибо', 'обратить', 'внимание']
243	['интернет', 'знать', 'помнить']
244	['ты', 'это', 'дать', 'поехать', 'искать', 'добиваться', 'правосудие']
245	['через', 'оптик', 'снять', 'такой']
246	['хотеть', 'жить', 'уметь', 'вертеться', 'лох', 'мамонт', 'вымереть', 'и', 'поговорка', 'пословица', 'данный', 'тематика']
247	['твой', 'бабка', 'объебут', 'быть', 'говорить']
248	['бабка', 'конченый', 'пох']
249	['соболезновать']
250	['жалко', 'человек', 'который', 'свой', 'наивность', 'простота', 'попадаться', 'такой', 'схема', 'естественный', 'отбор', 'иначе']
251	['мышление', 'детский', 'сорянин', 'ну', 'это', 'сказать', 'молодой', 'старичок', 'нихрен', 'шарить', 'учиться', 'поздно']
252	['извинить', 'взрослый', 'понять']
253	['твой', 'ровесник', 'интересный', 'мышление', 'просто', 'непонятный', 'а', 'ребёнок', 'педофил', 'секс', 'развести', 'сказать', 'лох']
254	['судить', 'весь', 'бабка', 'пойти']
255	['сравнение', 'подходить', 'ребёнок', 'маленький', 'глупый', 'многое', 'понимать', 'старик', 'жизнь', 'прожить', 'должный', 'понимать', 'покупать', 'цена', 'я', 'старик', 'жаль', 'нисколько', 'место', 'уступать', 'общественный', 'место', 'мочь', 'считать', 'плохой', 'человек', 'это', 'мой', 'личный', 'мнение', 'решение', 'просто', 'запомнить', 'один', 'никто', 'ты', 'позаботиться', 'кроме', 'сам', 'ни', 'старик', 'ровесник', 'друг', 'ребёнок', 'смысл', 'жалеть', 'никто', 'играть', 'публика', 'глаз', 'общественность', 'поставиться', 'правильный', 'это', 'фальша', 'жизнь', 'устроить', 'другой', 'если', 'прохавал', 'ты', 'предстоять', 'это', 'узнать', 'друг']
256	['наверно', 'курс', 'старик', 'терять', 'свой', 'ум', 'год', 'откроить', 'секрет', 'это', 'частый', 'явление', 'а', 'такой', 'жизненный', 'кредо', 'лес', 'одиночество', 'жить', 'бедный', 'твой', 'окружение']
257	['не', 'хотеть', 'брать']
